Entity,Code,Date,Daily confirmed cases (cases)
Afghanistan,AFG,"Feb 25, 2020",1
Afghanistan,AFG,"Mar 8, 2020",3
Afghanistan,AFG,"Mar 11, 2020",3
Afghanistan,AFG,"Mar 15, 2020",3
Afghanistan,AFG,"Mar 16, 2020",6
Afghanistan,AFG,"Mar 17, 2020",5
Afghanistan,AFG,"Mar 18, 2020",1
Afghanistan,AFG,"Mar 21, 2020",2
Afghanistan,AFG,"Mar 23, 2020",10
Afghanistan,AFG,"Mar 24, 2020",6
Afghanistan,AFG,"Mar 25, 2020",2
Afghanistan,AFG,"Mar 26, 2020",33
Afghanistan,AFG,"Mar 28, 2020",16
Afghanistan,AFG,"Mar 29, 2020",15
Afghanistan,AFG,"Mar 30, 2020",8
Afghanistan,AFG,"Mar 31, 2020",27
Afghanistan,AFG,"Apr 1, 2020",25
Afghanistan,AFG,"Apr 2, 2020",26
Afghanistan,AFG,"Apr 3, 2020",43
Afghanistan,AFG,"Apr 5, 2020",35
Afghanistan,AFG,"Apr 6, 2020",29
Afghanistan,AFG,"Apr 7, 2020",38
Afghanistan,AFG,"Apr 8, 2020",30
Afghanistan,AFG,"Apr 9, 2020",56
Afghanistan,AFG,"Apr 10, 2020",61
Afghanistan,AFG,"Apr 11, 2020",37
Afghanistan,AFG,"Apr 12, 2020",34
Afghanistan,AFG,"Apr 13, 2020",52
Afghanistan,AFG,"Apr 14, 2020",58
Afghanistan,AFG,"Apr 15, 2020",49
Afghanistan,AFG,"Apr 16, 2020",70
Afghanistan,AFG,"Apr 17, 2020",10
Afghanistan,AFG,"Apr 18, 2020",51
Afghanistan,AFG,"Apr 19, 2020",63
Afghanistan,AFG,"Apr 20, 2020",88
Afghanistan,AFG,"Apr 21, 2020",35
Afghanistan,AFG,"Apr 22, 2020",61
Afghanistan,AFG,"Apr 23, 2020",84
Afghanistan,AFG,"Apr 24, 2020",105
Afghanistan,AFG,"Apr 25, 2020",70
Afghanistan,AFG,"Apr 26, 2020",112
Afghanistan,AFG,"Apr 27, 2020",68
Afghanistan,AFG,"Apr 28, 2020",172
Africa,,"Feb 15, 2020",1
Africa,,"Feb 26, 2020",1
Africa,,"Feb 28, 2020",1
Africa,,"Mar 1, 2020",2
Africa,,"Mar 2, 2020",1
Africa,,"Mar 3, 2020",3
Africa,,"Mar 4, 2020",2
Africa,,"Mar 5, 2020",9
Africa,,"Mar 6, 2020",9
Africa,,"Mar 7, 2020",14
Africa,,"Mar 8, 2020",1
Africa,,"Mar 9, 2020",39
Africa,,"Mar 10, 2020",12
Africa,,"Mar 11, 2020",10
Africa,,"Mar 12, 2020",13
Africa,,"Mar 13, 2020",41
Africa,,"Mar 14, 2020",43
Africa,,"Mar 15, 2020",37
Africa,,"Mar 16, 2020",85
Africa,,"Mar 17, 2020",78
Africa,,"Mar 18, 2020",92
Africa,,"Mar 19, 2020",139
Africa,,"Mar 20, 2020",111
Africa,,"Mar 21, 2020",231
Africa,,"Mar 22, 2020",201
Africa,,"Mar 23, 2020",213
Africa,,"Mar 24, 2020",349
Africa,,"Mar 25, 2020",465
Africa,,"Mar 26, 2020",487
Africa,,"Mar 27, 2020",588
Africa,,"Mar 28, 2020",526
Africa,,"Mar 29, 2020",320
Africa,,"Mar 30, 2020",505
Africa,,"Mar 31, 2020",508
Africa,,"Apr 1, 2020",489
Africa,,"Apr 2, 2020",622
Africa,,"Apr 3, 2020",635
Africa,,"Apr 4, 2020",625
Africa,,"Apr 5, 2020",932
Africa,,"Apr 6, 2020",735
Africa,,"Apr 7, 2020",627
Africa,,"Apr 8, 2020",722
Africa,,"Apr 9, 2020",922
Africa,,"Apr 10, 2020",834
Africa,,"Apr 11, 2020",672
Africa,,"Apr 12, 2020",714
Africa,,"Apr 13, 2020",856
Africa,,"Apr 14, 2020",769
Africa,,"Apr 15, 2020",990
Africa,,"Apr 16, 2020",962
Africa,,"Apr 17, 2020",1086
Africa,,"Apr 18, 2020",1568
Africa,,"Apr 19, 2020",1160
Africa,,"Apr 20, 2020",1246
Africa,,"Apr 21, 2020",964
Africa,,"Apr 22, 2020",1350
Africa,,"Apr 23, 2020",1069
Africa,,"Apr 24, 2020",1535
Africa,,"Apr 25, 2020",1854
Africa,,"Apr 26, 2020",1241
Africa,,"Apr 27, 2020",1432
Africa,,"Apr 28, 2020",1416
Albania,ALB,"Mar 9, 2020",2
Albania,ALB,"Mar 10, 2020",4
Albania,ALB,"Mar 11, 2020",4
Albania,ALB,"Mar 12, 2020",1
Albania,ALB,"Mar 13, 2020",12
Albania,ALB,"Mar 14, 2020",10
Albania,ALB,"Mar 15, 2020",5
Albania,ALB,"Mar 16, 2020",4
Albania,ALB,"Mar 17, 2020",9
Albania,ALB,"Mar 18, 2020",4
Albania,ALB,"Mar 19, 2020",4
Albania,ALB,"Mar 20, 2020",11
Albania,ALB,"Mar 22, 2020",6
Albania,ALB,"Mar 23, 2020",13
Albania,ALB,"Mar 24, 2020",11
Albania,ALB,"Mar 25, 2020",23
Albania,ALB,"Mar 26, 2020",23
Albania,ALB,"Mar 27, 2020",28
Albania,ALB,"Mar 28, 2020",12
Albania,ALB,"Mar 29, 2020",11
Albania,ALB,"Mar 30, 2020",15
Albania,ALB,"Mar 31, 2020",11
Albania,ALB,"Apr 1, 2020",20
Albania,ALB,"Apr 2, 2020",16
Albania,ALB,"Apr 3, 2020",18
Albania,ALB,"Apr 4, 2020",27
Albania,ALB,"Apr 5, 2020",29
Albania,ALB,"Apr 6, 2020",28
Albania,ALB,"Apr 7, 2020",16
Albania,ALB,"Apr 8, 2020",6
Albania,ALB,"Apr 9, 2020",17
Albania,ALB,"Apr 10, 2020",9
Albania,ALB,"Apr 11, 2020",7
Albania,ALB,"Apr 12, 2020",17
Albania,ALB,"Apr 13, 2020",13
Albania,ALB,"Apr 14, 2020",21
Albania,ALB,"Apr 15, 2020",8
Albania,ALB,"Apr 16, 2020",19
Albania,ALB,"Apr 17, 2020",24
Albania,ALB,"Apr 18, 2020",21
Albania,ALB,"Apr 19, 2020",9
Albania,ALB,"Apr 20, 2020",14
Albania,ALB,"Apr 21, 2020",22
Albania,ALB,"Apr 22, 2020",25
Albania,ALB,"Apr 23, 2020",25
Albania,ALB,"Apr 24, 2020",29
Albania,ALB,"Apr 25, 2020",15
Albania,ALB,"Apr 26, 2020",34
Albania,ALB,"Apr 27, 2020",14
Albania,ALB,"Apr 28, 2020",10
Algeria,DZA,"Feb 26, 2020",1
Algeria,DZA,"Mar 1, 2020",2
Algeria,DZA,"Mar 4, 2020",2
Algeria,DZA,"Mar 5, 2020",7
Algeria,DZA,"Mar 6, 2020",5
Algeria,DZA,"Mar 9, 2020",3
Algeria,DZA,"Mar 13, 2020",5
Algeria,DZA,"Mar 14, 2020",1
Algeria,DZA,"Mar 15, 2020",11
Algeria,DZA,"Mar 16, 2020",11
Algeria,DZA,"Mar 17, 2020",10
Algeria,DZA,"Mar 18, 2020",2
Algeria,DZA,"Mar 19, 2020",12
Algeria,DZA,"Mar 20, 2020",18
Algeria,DZA,"Mar 21, 2020",12
Algeria,DZA,"Mar 22, 2020",37
Algeria,DZA,"Mar 23, 2020",62
Algeria,DZA,"Mar 24, 2020",29
Algeria,DZA,"Mar 25, 2020",34
Algeria,DZA,"Mar 26, 2020",38
Algeria,DZA,"Mar 27, 2020",65
Algeria,DZA,"Mar 28, 2020",42
Algeria,DZA,"Mar 29, 2020",45
Algeria,DZA,"Mar 30, 2020",57
Algeria,DZA,"Mar 31, 2020",73
Algeria,DZA,"Apr 1, 2020",132
Algeria,DZA,"Apr 2, 2020",131
Algeria,DZA,"Apr 3, 2020",139
Algeria,DZA,"Apr 4, 2020",185
Algeria,DZA,"Apr 5, 2020",80
Algeria,DZA,"Apr 6, 2020",69
Algeria,DZA,"Apr 7, 2020",103
Algeria,DZA,"Apr 8, 2020",45
Algeria,DZA,"Apr 9, 2020",104
Algeria,DZA,"Apr 10, 2020",94
Algeria,DZA,"Apr 11, 2020",95
Algeria,DZA,"Apr 12, 2020",64
Algeria,DZA,"Apr 13, 2020",89
Algeria,DZA,"Apr 14, 2020",69
Algeria,DZA,"Apr 15, 2020",87
Algeria,DZA,"Apr 16, 2020",90
Algeria,DZA,"Apr 17, 2020",108
Algeria,DZA,"Apr 18, 2020",150
Algeria,DZA,"Apr 19, 2020",117
Algeria,DZA,"Apr 20, 2020",94
Algeria,DZA,"Apr 21, 2020",89
Algeria,DZA,"Apr 22, 2020",93
Algeria,DZA,"Apr 23, 2020",99
Algeria,DZA,"Apr 24, 2020",97
Algeria,DZA,"Apr 25, 2020",120
Algeria,DZA,"Apr 26, 2020",129
Algeria,DZA,"Apr 27, 2020",126
Algeria,DZA,"Apr 28, 2020",135
Andorra,AND,"Mar 3, 2020",1
Andorra,AND,"Mar 14, 2020",1
Andorra,AND,"Mar 16, 2020",3
Andorra,AND,"Mar 17, 2020",9
Andorra,AND,"Mar 19, 2020",39
Andorra,AND,"Mar 20, 2020",22
Andorra,AND,"Mar 22, 2020",13
Andorra,AND,"Mar 23, 2020",25
Andorra,AND,"Mar 24, 2020",20
Andorra,AND,"Mar 25, 2020",31
Andorra,AND,"Mar 26, 2020",24
Andorra,AND,"Mar 27, 2020",36
Andorra,AND,"Mar 28, 2020",43
Andorra,AND,"Mar 29, 2020",41
Andorra,AND,"Mar 30, 2020",26
Andorra,AND,"Mar 31, 2020",36
Andorra,AND,"Apr 1, 2020",6
Andorra,AND,"Apr 2, 2020",14
Andorra,AND,"Apr 3, 2020",38
Andorra,AND,"Apr 4, 2020",11
Andorra,AND,"Apr 5, 2020",27
Andorra,AND,"Apr 6, 2020",35
Andorra,AND,"Apr 7, 2020",25
Andorra,AND,"Apr 8, 2020",19
Andorra,AND,"Apr 9, 2020",19
Andorra,AND,"Apr 10, 2020",19
Andorra,AND,"Apr 11, 2020",18
Andorra,AND,"Apr 12, 2020",21
Andorra,AND,"Apr 13, 2020",16
Andorra,AND,"Apr 14, 2020",8
Andorra,AND,"Apr 15, 2020",13
Andorra,AND,"Apr 16, 2020",14
Andorra,AND,"Apr 17, 2020",9
Andorra,AND,"Apr 18, 2020",14
Andorra,AND,"Apr 19, 2020",8
Andorra,AND,"Apr 20, 2020",9
Andorra,AND,"Apr 21, 2020",4
Andorra,AND,"Apr 23, 2020",6
Andorra,AND,"Apr 24, 2020",1
Andorra,AND,"Apr 25, 2020",7
Andorra,AND,"Apr 26, 2020",2
Andorra,AND,"Apr 27, 2020",7
Andorra,AND,"Apr 28, 2020",3
Angola,AGO,"Mar 22, 2020",2
Angola,AGO,"Mar 27, 2020",1
Angola,AGO,"Mar 28, 2020",1
Angola,AGO,"Mar 30, 2020",3
Angola,AGO,"Apr 2, 2020",1
Angola,AGO,"Apr 5, 2020",2
Angola,AGO,"Apr 6, 2020",4
Angola,AGO,"Apr 7, 2020",2
Angola,AGO,"Apr 8, 2020",1
Angola,AGO,"Apr 9, 2020",2
Angola,AGO,"Apr 19, 2020",5
Angola,AGO,"Apr 24, 2020",1
Angola,AGO,"Apr 27, 2020",1
Angola,AGO,"Apr 28, 2020",1
Anguilla,AIA,"Mar 27, 2020",2
Anguilla,AIA,"Apr 3, 2020",1
Antigua and Barbuda,ATG,"Mar 15, 2020",1
Antigua and Barbuda,ATG,"Mar 25, 2020",2
Antigua and Barbuda,ATG,"Mar 27, 2020",4
Antigua and Barbuda,ATG,"Apr 3, 2020",2
Antigua and Barbuda,ATG,"Apr 4, 2020",6
Antigua and Barbuda,ATG,"Apr 10, 2020",4
Antigua and Barbuda,ATG,"Apr 11, 2020",2
Antigua and Barbuda,ATG,"Apr 14, 2020",2
Antigua and Barbuda,ATG,"Apr 22, 2020",1
Argentina,ARG,"Mar 4, 2020",1
Argentina,ARG,"Mar 6, 2020",1
Argentina,ARG,"Mar 7, 2020",6
Argentina,ARG,"Mar 8, 2020",1
Argentina,ARG,"Mar 9, 2020",3
Argentina,ARG,"Mar 11, 2020",7
Argentina,ARG,"Mar 13, 2020",12
Argentina,ARG,"Mar 14, 2020",3
Argentina,ARG,"Mar 15, 2020",11
Argentina,ARG,"Mar 16, 2020",11
Argentina,ARG,"Mar 17, 2020",9
Argentina,ARG,"Mar 18, 2020",14
Argentina,ARG,"Mar 19, 2020",18
Argentina,ARG,"Mar 20, 2020",31
Argentina,ARG,"Mar 21, 2020",30
Argentina,ARG,"Mar 22, 2020",67
Argentina,ARG,"Mar 23, 2020",41
Argentina,ARG,"Mar 24, 2020",35
Argentina,ARG,"Mar 25, 2020",86
Argentina,ARG,"Mar 26, 2020",115
Argentina,ARG,"Mar 27, 2020",87
Argentina,ARG,"Mar 28, 2020",101
Argentina,ARG,"Mar 29, 2020",55
Argentina,ARG,"Mar 30, 2020",75
Argentina,ARG,"Mar 31, 2020",146
Argentina,ARG,"Apr 2, 2020",167
Argentina,ARG,"Apr 4, 2020",132
Argentina,ARG,"Apr 5, 2020",186
Argentina,ARG,"Apr 6, 2020",103
Argentina,ARG,"Apr 7, 2020",74
Argentina,ARG,"Apr 8, 2020",87
Argentina,ARG,"Apr 9, 2020",80
Argentina,ARG,"Apr 10, 2020",99
Argentina,ARG,"Apr 11, 2020",81
Argentina,ARG,"Apr 12, 2020",162
Argentina,ARG,"Apr 13, 2020",66
Argentina,ARG,"Apr 14, 2020",69
Argentina,ARG,"Apr 15, 2020",160
Argentina,ARG,"Apr 17, 2020",128
Argentina,ARG,"Apr 18, 2020",98
Argentina,ARG,"Apr 19, 2020",170
Argentina,ARG,"Apr 20, 2020",102
Argentina,ARG,"Apr 21, 2020",90
Argentina,ARG,"Apr 22, 2020",112
Argentina,ARG,"Apr 23, 2020",144
Argentina,ARG,"Apr 24, 2020",147
Argentina,ARG,"Apr 26, 2020",344
Argentina,ARG,"Apr 28, 2020",223
Armenia,ARM,"Mar 1, 2020",1
Armenia,ARM,"Mar 12, 2020",3
Armenia,ARM,"Mar 13, 2020",2
Armenia,ARM,"Mar 14, 2020",7
Armenia,ARM,"Mar 15, 2020",7
Armenia,ARM,"Mar 16, 2020",10
Armenia,ARM,"Mar 17, 2020",22
Armenia,ARM,"Mar 18, 2020",26
Armenia,ARM,"Mar 19, 2020",37
Armenia,ARM,"Mar 20, 2020",7
Armenia,ARM,"Mar 21, 2020",14
Armenia,ARM,"Mar 22, 2020",24
Armenia,ARM,"Mar 23, 2020",30
Armenia,ARM,"Mar 24, 2020",4
Armenia,ARM,"Mar 25, 2020",71
Armenia,ARM,"Mar 26, 2020",25
Armenia,ARM,"Mar 27, 2020",39
Armenia,ARM,"Mar 28, 2020",43
Armenia,ARM,"Mar 29, 2020",52
Armenia,ARM,"Mar 31, 2020",58
Armenia,ARM,"Apr 1, 2020",50
Armenia,ARM,"Apr 2, 2020",39
Armenia,ARM,"Apr 3, 2020",92
Armenia,ARM,"Apr 4, 2020",73
Armenia,ARM,"Apr 5, 2020",34
Armenia,ARM,"Apr 6, 2020",52
Armenia,ARM,"Apr 7, 2020",11
Armenia,ARM,"Apr 8, 2020",20
Armenia,ARM,"Apr 9, 2020",28
Armenia,ARM,"Apr 10, 2020",40
Armenia,ARM,"Apr 11, 2020",16
Armenia,ARM,"Apr 12, 2020",30
Armenia,ARM,"Apr 13, 2020",46
Armenia,ARM,"Apr 14, 2020",26
Armenia,ARM,"Apr 15, 2020",72
Armenia,ARM,"Apr 16, 2020",48
Armenia,ARM,"Apr 17, 2020",42
Armenia,ARM,"Apr 18, 2020",47
Armenia,ARM,"Apr 19, 2020",43
Armenia,ARM,"Apr 20, 2020",48
Armenia,ARM,"Apr 21, 2020",62
Armenia,ARM,"Apr 22, 2020",72
Armenia,ARM,"Apr 23, 2020",50
Armenia,ARM,"Apr 24, 2020",73
Armenia,ARM,"Apr 25, 2020",81
Armenia,ARM,"Apr 26, 2020",69
Armenia,ARM,"Apr 27, 2020",62
Armenia,ARM,"Apr 28, 2020",59
Aruba,ABW,"Mar 13, 2020",2
Aruba,ABW,"Mar 20, 2020",2
Aruba,ABW,"Mar 24, 2020",8
Aruba,ABW,"Mar 25, 2020",5
Aruba,ABW,"Mar 26, 2020",2
Aruba,ABW,"Mar 27, 2020",9
Aruba,ABW,"Mar 30, 2020",22
Aruba,ABW,"Apr 1, 2020",5
Aruba,ABW,"Apr 3, 2020",5
Aruba,ABW,"Apr 4, 2020",2
Aruba,ABW,"Apr 5, 2020",2
Aruba,ABW,"Apr 7, 2020",7
Aruba,ABW,"Apr 8, 2020",3
Aruba,ABW,"Apr 9, 2020",3
Aruba,ABW,"Apr 10, 2020",5
Aruba,ABW,"Apr 11, 2020",4
Aruba,ABW,"Apr 12, 2020",6
Aruba,ABW,"Apr 16, 2020",1
Aruba,ABW,"Apr 17, 2020",2
Aruba,ABW,"Apr 18, 2020",1
Aruba,ABW,"Apr 20, 2020",1
Aruba,ABW,"Apr 23, 2020",3
Asia,,"Dec 31, 2019",27
Asia,,"Jan 3, 2020",17
Asia,,"Jan 5, 2020",15
Asia,,"Jan 13, 2020",1
Asia,,"Jan 15, 2020",1
Asia,,"Jan 17, 2020",5
Asia,,"Jan 18, 2020",17
Asia,,"Jan 19, 2020",136
Asia,,"Jan 20, 2020",20
Asia,,"Jan 21, 2020",152
Asia,,"Jan 22, 2020",142
Asia,,"Jan 23, 2020",97
Asia,,"Jan 24, 2020",266
Asia,,"Jan 25, 2020",448
Asia,,"Jan 26, 2020",669
Asia,,"Jan 27, 2020",794
Asia,,"Jan 28, 2020",1765
Asia,,"Jan 29, 2020",1475
Asia,,"Jan 30, 2020",1752
Asia,,"Jan 31, 2020",1994
Asia,,"Feb 1, 2020",2110
Asia,,"Feb 2, 2020",2604
Asia,,"Feb 3, 2020",2814
Asia,,"Feb 4, 2020",3240
Asia,,"Feb 5, 2020",3895
Asia,,"Feb 6, 2020",3739
Asia,,"Feb 7, 2020",3172
Asia,,"Feb 8, 2020",3433
Asia,,"Feb 9, 2020",2618
Asia,,"Feb 10, 2020",2981
Asia,,"Feb 11, 2020",2495
Asia,,"Feb 12, 2020",2031
Asia,,"Feb 13, 2020",15149
Asia,,"Feb 14, 2020",4166
Asia,,"Feb 15, 2020",2558
Asia,,"Feb 16, 2020",2028
Asia,,"Feb 17, 2020",2066
Asia,,"Feb 18, 2020",1896
Asia,,"Feb 19, 2020",1776
Asia,,"Feb 20, 2020",453
Asia,,"Feb 21, 2020",979
Asia,,"Feb 22, 2020",1048
Asia,,"Feb 23, 2020",945
Asia,,"Feb 24, 2020",413
Asia,,"Feb 25, 2020",675
Asia,,"Feb 26, 2020",756
Asia,,"Feb 27, 2020",986
Asia,,"Feb 28, 2020",920
Asia,,"Feb 29, 2020",1525
Asia,,"Mar 1, 2020",1405
Asia,,"Mar 2, 2020",1328
Asia,,"Mar 3, 2020",1273
Asia,,"Mar 4, 2020",1514
Asia,,"Mar 5, 2020",1253
Asia,,"Mar 6, 2020",1357
Asia,,"Mar 7, 2020",1962
Asia,,"Mar 8, 2020",1625
Asia,,"Mar 9, 2020",1165
Asia,,"Mar 10, 2020",915
Asia,,"Mar 11, 2020",1345
Asia,,"Mar 12, 2020",1630
Asia,,"Mar 13, 2020",1373
Asia,,"Mar 14, 2020",1825
Asia,,"Mar 15, 2020",1803
Asia,,"Mar 16, 2020",1943
Asia,,"Mar 17, 2020",1823
Asia,,"Mar 18, 2020",1952
Asia,,"Mar 19, 2020",2101
Asia,,"Mar 20, 2020",2405
Asia,,"Mar 21, 2020",2539
Asia,,"Mar 22, 2020",2979
Asia,,"Mar 23, 2020",2738
Asia,,"Mar 24, 2020",3214
Asia,,"Mar 25, 2020",4127
Asia,,"Mar 26, 2020",4617
Asia,,"Mar 27, 2020",5386
Asia,,"Mar 28, 2020",7041
Asia,,"Mar 29, 2020",7375
Asia,,"Mar 30, 2020",7108
Asia,,"Mar 31, 2020",7602
Asia,,"Apr 1, 2020",7793
Asia,,"Apr 2, 2020",8429
Asia,,"Apr 3, 2020",8875
Asia,,"Apr 4, 2020",6305
Asia,,"Apr 5, 2020",12331
Asia,,"Apr 6, 2020",10209
Asia,,"Apr 7, 2020",9368
Asia,,"Apr 8, 2020",9617
Asia,,"Apr 9, 2020",9526
Asia,,"Apr 10, 2020",10176
Asia,,"Apr 11, 2020",11050
Asia,,"Apr 12, 2020",13084
Asia,,"Apr 13, 2020",11521
Asia,,"Apr 14, 2020",11760
Asia,,"Apr 15, 2020",11234
Asia,,"Apr 16, 2020",11417
Asia,,"Apr 17, 2020",12990
Asia,,"Apr 18, 2020",11827
Asia,,"Apr 19, 2020",12298
Asia,,"Apr 20, 2020",12311
Asia,,"Apr 21, 2020",14193
Asia,,"Apr 22, 2020",13287
Asia,,"Apr 23, 2020",11484
Asia,,"Apr 24, 2020",13533
Asia,,"Apr 25, 2020",12219
Asia,,"Apr 26, 2020",13343
Asia,,"Apr 27, 2020",11442
Asia,,"Apr 28, 2020",11100
Asia excl. China,,"Jan 13, 2020",1
Asia excl. China,,"Jan 15, 2020",1
Asia excl. China,,"Jan 17, 2020",1
Asia excl. China,,"Jan 20, 2020",1
Asia excl. China,,"Jan 21, 2020",1
Asia excl. China,,"Jan 22, 2020",2
Asia excl. China,,"Jan 24, 2020",7
Asia excl. China,,"Jan 25, 2020",7
Asia excl. China,,"Jan 26, 2020",4
Asia excl. China,,"Jan 27, 2020",7
Asia excl. China,,"Jan 28, 2020",12
Asia excl. China,,"Jan 29, 2020",9
Asia excl. China,,"Jan 30, 2020",12
Asia excl. China,,"Jan 31, 2020",14
Asia excl. China,,"Feb 1, 2020",15
Asia excl. China,,"Feb 2, 2020",14
Asia excl. China,,"Feb 3, 2020",2
Asia excl. China,,"Feb 4, 2020",3
Asia excl. China,,"Feb 5, 2020",23
Asia excl. China,,"Feb 6, 2020",12
Asia excl. China,,"Feb 7, 2020",12
Asia excl. China,,"Feb 8, 2020",15
Asia excl. China,,"Feb 9, 2020",11
Asia excl. China,,"Feb 10, 2020",7
Asia excl. China,,"Feb 11, 2020",5
Asia excl. China,,"Feb 12, 2020",3
Asia excl. China,,"Feb 13, 2020",8
Asia excl. China,,"Feb 14, 2020",10
Asia excl. China,,"Feb 15, 2020",20
Asia excl. China,,"Feb 16, 2020",21
Asia excl. China,,"Feb 17, 2020",14
Asia excl. China,,"Feb 18, 2020",6
Asia excl. China,,"Feb 19, 2020",26
Asia excl. China,,"Feb 20, 2020",59
Asia excl. China,,"Feb 21, 2020",88
Asia excl. China,,"Feb 22, 2020",222
Asia excl. China,,"Feb 23, 2020",298
Asia excl. China,,"Feb 24, 2020",195
Asia excl. China,,"Feb 25, 2020",160
Asia excl. China,,"Feb 26, 2020",346
Asia excl. China,,"Feb 27, 2020",547
Asia excl. China,,"Feb 28, 2020",591
Asia excl. China,,"Feb 29, 2020",1097
Asia excl. China,,"Mar 1, 2020",831
Asia excl. China,,"Mar 2, 2020",1123
Asia excl. China,,"Mar 3, 2020",1146
Asia excl. China,,"Mar 4, 2020",1395
Asia excl. China,,"Mar 5, 2020",1136
Asia excl. China,,"Mar 6, 2020",1187
Asia excl. China,,"Mar 7, 2020",1861
Asia excl. China,,"Mar 8, 2020",1579
Asia excl. China,,"Mar 9, 2020",1120
Asia excl. China,,"Mar 10, 2020",895
Asia excl. China,,"Mar 11, 2020",1316
Asia excl. China,,"Mar 12, 2020",1606
Asia excl. China,,"Mar 13, 2020",1351
Asia excl. China,,"Mar 14, 2020",1806
Asia excl. China,,"Mar 15, 2020",1781
Asia excl. China,,"Mar 16, 2020",1918
Asia excl. China,,"Mar 17, 2020",1780
Asia excl. China,,"Mar 18, 2020",1929
Asia excl. China,,"Mar 19, 2020",2057
Asia excl. China,,"Mar 20, 2020",2306
Asia excl. China,,"Mar 21, 2020",2487
Asia excl. China,,"Mar 22, 2020",2914
Asia excl. China,,"Mar 23, 2020",2600
Asia excl. China,,"Mar 24, 2020",3145
Asia excl. China,,"Mar 25, 2020",4049
Asia excl. China,,"Mar 26, 2020",4515
Asia excl. China,,"Mar 27, 2020",5292
Asia excl. China,,"Mar 28, 2020",6922
Asia excl. China,,"Mar 29, 2020",7262
Asia excl. China,,"Mar 30, 2020",7010
Asia excl. China,,"Mar 31, 2020",7518
Asia excl. China,,"Apr 1, 2020",7739
Asia excl. China,,"Apr 2, 2020",8329
Asia excl. China,,"Apr 3, 2020",8805
Asia excl. China,,"Apr 4, 2020",6243
Asia excl. China,,"Apr 5, 2020",12283
Asia excl. China,,"Apr 6, 2020",10142
Asia excl. China,,"Apr 7, 2020",9312
Asia excl. China,,"Apr 8, 2020",9531
Asia excl. China,,"Apr 9, 2020",9440
Asia excl. China,,"Apr 10, 2020",10121
Asia excl. China,,"Apr 11, 2020",10971
Asia excl. China,,"Apr 12, 2020",12991
Asia excl. China,,"Apr 13, 2020",11409
Asia excl. China,,"Apr 14, 2020",11666
Asia excl. China,,"Apr 15, 2020",11185
Asia excl. China,,"Apr 16, 2020",11367
Asia excl. China,,"Apr 17, 2020",12638
Asia excl. China,,"Apr 18, 2020",11796
Asia excl. China,,"Apr 19, 2020",12280
Asia excl. China,,"Apr 20, 2020",12297
Asia excl. China,,"Apr 21, 2020",14161
Asia excl. China,,"Apr 22, 2020",13272
Asia excl. China,,"Apr 23, 2020",11472
Asia excl. China,,"Apr 24, 2020",13525
Asia excl. China,,"Apr 25, 2020",12204
Asia excl. China,,"Apr 26, 2020",13333
Asia excl. China,,"Apr 27, 2020",11439
Asia excl. China,,"Apr 28, 2020",11074
Australia,AUS,"Jan 25, 2020",1
Australia,AUS,"Jan 26, 2020",3
Australia,AUS,"Jan 30, 2020",2
Australia,AUS,"Jan 31, 2020",1
Australia,AUS,"Feb 1, 2020",2
Australia,AUS,"Feb 2, 2020",2
Australia,AUS,"Feb 5, 2020",1
Australia,AUS,"Feb 6, 2020",1
